# Catalogo de PH (conjuntos, edificios, condominios) de Pasto.
# Un nombre por linea, tal como debe quedar guardado (con tildes/mayusculas).
# Lineas vacias y las que empiezan con # se ignoran.
#
# Cargado desde el listado provisto por el cliente. Se quitaron los prefijos
# de barrio/sector ("Palermo.", "Castilla.", etc.) y el marcador "PH" porque
# un aviso nombra el edificio, no el sector + "PH" (ver inmobiliary.detectors.ph).
# Tambien se descartaron las entradas sin nombre real ("Sin nombre N",
# "Pendiente de nombre", "Vivienda Multifamiliar N" a secas): son marcadores
# internos del cliente para PH sin bautizar, se repiten identicos en varios
# barrios y nunca van a aparecer asi en el texto de un aviso.
Jardín del Río
Edificio Turin
Condominio Valle de Atriz
Refugio Valle de Atriz
Portal Valle de Atriz
Rincón Valle de Atríz
Edificio Premium de la Avenida
Edificio Hito
Edificio Lotus
Edificio La Arboleda
Torres de la Avenida
Campos de Aragon
Atres tower
Jardín de Lily
Edificio D"azini
Edificio Gran Avenida
Edificio Titanio
Edificio Palmeto
Solsticio II
Edificio Solsticio I
Edificio Terrazas de Morasurco
Edificio Yambinoy
Reserva de Verojú
Jardín del Morasurco
Edificio Montecarlo
Edificio Portal de Cantabria
Portal Morasurco
Torre Morasurco
Edificio Atrium
Edificio Figueres
Edificio Vivarium
Edificio Dos Angeles
Edificio Ventura
Edificio Roma
Edificio Palermo
Edificio Los Arces
Edificio Las Aradas
Torres del Parque
Reserva de Parana
Edificio Ceretto
Rincon de Atocha
Campos de Castilla
Edificio Raices
Edificio Torre San Gabriel
Edificio Aconcagua
Edificio Austral torre VI
Loyola 32
Edificio Austral V
Edificio Soho 29
Edificio Novacentro
Edificio Torre Parque Central 2
Edificio Torre Parque Central
Torres de Alejandría
Jardín de Atriz
Edificio Shalom
Edificio SPA Universal
Edificio Santarem
Edificio Habitar de la Colina
Edificio Conjunto Residencial Camino Real
Edificio Torre D" Ammerissa
Edificio Rosal del Monte
Edificio Palermo 38
Edificio Torre Menorca
Edificio Los Arcangeles
Edificio Ferrara
Edificio Toscana
Edificio Nova 37
